Category	Term	Count	Percent	Fold	P-value	Bonferroni	FDR
Transcription factor	SAP30	7	0.07954545	0.96655232	0.59408393	1	0.8185
Transcription factor	SCML2	4	0.13333333	1.62012579	0.25614875	1	0.711
Transcription factor	SETD1A	48	0.09542744	1.15953337	0.14727251	1	0.6663
Transcription factor	SETDB1	5	0.07352941	0.89345172	0.66398511	1	0.8371
Transcription factor	SFPQ	27	0.08940397	1.08634262	0.36119297	1	0.7348
Transcription factor	SGF29	1	0.1	1.21509434	0.58193812	1	0.8185
Transcription factor	SHP	1	0.5	6.0754717	0.21130707	1	0.6677
Transcription factor	SIN3A	70	0.09055627	1.10034416	0.18175647	1	0.6677
Transcription factor	SIP1	1	0.2	2.43018868	0.37818432	1	0.7348
Transcription factor	SIRT6	2	0.25	3.03773585	0.17309021	1	0.6677
Transcription factor	SIX2	11	0.08396947	1.02030822	0.52281055	1	0.7867
Transcription factor	SIX5	22	0.1122449	1.3638814	0.09504428	1	0.6204
Transcription factor	SLUG	1	0.25	3.03773585	0.32687726	1	0.7348
Transcription factor	SMAD1	36	0.08653846	1.05152395	0.40453745	1	0.7412
Transcription factor	SMAD2	3	0.10714286	1.30188679	0.42332423	1	0.7412
Transcription factor	SMAD3	16	0.08839779	1.07411654	0.42912318	1	0.7423
Transcription factor	SMAD4	3	0.07142857	0.86792453	0.67808455	1	0.8398
Transcription factor	SMARCA4	5	0.07575758	0.92052601	0.63919055	1	0.8309
Transcription factor	SMARCB1	2	0.06060606	0.73642081	0.75890568	1	0.8686
Transcription factor	SMARCC1	2	0.08	0.97207547	0.62087784	1	0.8261
Transcription factor	SMC1A	62	0.08299866	1.00851204	0.49894731	1	0.7837
Transcription factor	SMC3	44	0.09302326	1.13032032	0.2102201	1	0.6677
Transcription factor	SNAI1	3	0.21428571	2.60377358	0.13376646	1	0.6663
Transcription factor	SNAI2	44	0.08029197	0.97562319	0.60527724	1	0.8202
Transcription factor	SON	2	0.66666667	8.10062893	0.04931887	1	0.4581
Transcription factor	SOX17	1	0.125	1.51886792	0.50992707	1	0.7837
Transcription factor	SOX2	16	0.06722689	0.81687014	0.83200733	1	0.901
Transcription factor	SOX9	14	0.12173913	1.47924528	0.10626982	1	0.6581
Transcription factor	SP1	82	0.0839304	1.01983353	0.4363316	1	0.7447
Transcription factor	SP2	30	0.09646302	1.17211673	0.2103525	1	0.6677
Transcription factor	SP4	8	0.14035088	1.70539556	0.11562643	1	0.6663
Transcription factor	SPI1	89	0.08396226	1.02022072	0.42660484	1	0.7412
Transcription factor	SPRR2A	1	0.5	6.0754717	0.21130707	1	0.6677
Transcription factor	SREBF1	10	0.125	1.51886792	0.14084952	1	0.6663
Transcription factor	SREBF2	3	0.08823529	1.07214206	0.54303799	1	0.8036
Transcription factor	SRF	62	0.09672387	1.17528626	0.08107558	1	0.6119
Transcription factor	STAG1	64	0.10406504	1.26448842	0.0194086	1	0.368
Transcription factor	STAT1	90	0.0974026	1.18353345	0.02033274	1	0.368
Transcription factor	STAT2	3	0.10344828	1.25699414	0.44412629	1	0.7527
Transcription factor	STAT3	71	0.09861111	1.19821803	0.03998601	1	0.4491
Transcription factor	STAT4	2	0.08333333	1.01257862	0.59993023	1	0.8185
Transcription factor	STAT5	1	0.05	0.60754717	0.8115914	1	0.8893
Transcription factor	STAT5A	7	0.07142857	0.86792453	0.70056996	1	0.8481
Transcription factor	STAT5B	8	0.07207207	0.87574367	0.6981284	1	0.8472
Transcription factor	STAT6	1	0.5	6.0754717	0.21130707	1	0.6677
Transcription factor	SUMO1	11	0.10891089	1.32337007	0.22686352	1	0.6935
Transcription factor	SUMO2	64	0.08648649	1.0508924	0.34260184	1	0.7348
Transcription factor	SUPT5H	66	0.10280374	1.24916241	0.02209311	1	0.368
Transcription factor	SUZ12	3	0.11111111	1.35010482	0.40226983	1	0.7412
Transcription factor	T	2	0.1	1.21509434	0.50768015	1	0.7837
Transcription factor	TAF1	90	0.09868421	1.19910626	0.01398043	1	0.368
Transcription factor	TAF3	38	0.08296943	1.00815688	0.51093307	1	0.7837
Transcription factor	TAF7	19	0.09895833	1.20243711	0.24524294	1	0.711
Transcription factor	TAL1	80	0.09592326	1.16555812	0.04852658	1	0.4581
Transcription factor	TAZ	1	0.33333333	4.05031447	0.27136559	1	0.711
Transcription factor	TBL1XR1	11	0.09322034	1.13271506	0.39091585	1	0.7412
Transcription factor	TBL1Y	3	0.23076923	2.80406386	0.11634703	1	0.6663
Transcription factor	TBP	78	0.1037234	1.26033721	0.00802467	1	0.323
Transcription factor	TCF12	82	0.08855292	1.07600147	0.21150126	1	0.6677
Transcription factor	TCF21	2	0.03076923	0.37387518	0.96932627	1	0.9795
Transcription factor	TCF3	94	0.0945674	1.14908318	0.03736356	1	0.445
Transcription factor	TCF4	41	0.08559499	1.04005987	0.42226457	1	0.7412
Transcription factor	TCF7L2	40	0.07633588	0.92755293	0.73303537	1	0.8584
Transcription factor	TEAD1	10	0.07352941	0.89345172	0.68743846	1	0.8472
Transcription factor	TEAD4	42	0.07486631	0.9096963	0.78478779	1	0.8795
Transcription factor	TET2	22	0.06790123	0.82506406	0.85809301	1	0.9162
Transcription factor	TET3	1	0.16666667	2.02515723	0.42560336	1	0.7412
Transcription factor	TFAP2A	75	0.09101942	1.10597179	0.1531279	1	0.6663
Transcription factor	TFAP2C	74	0.09035409	1.09788744	0.17520535	1	0.6677
Transcription factor	TFAP4	67	0.09503546	1.15477051	0.09197319	1	0.6198
Transcription factor	TGFB1	7	0.22580645	2.74376141	0.02177504	1	0.368
Transcription factor	THAP1	5	0.06849315	0.8322564	0.72104311	1	0.8557
Transcription factor	THAP11	6	0.07407407	0.90006988	0.66139117	1	0.8363
Transcription factor	TLE3	1	0.01408451	0.17114005	0.99696424	1	0.998
Transcription factor	TLR2	2	0.5	6.0754717	0.07034199	1	0.5834
Transcription factor	TLR4	1	0.33333333	4.05031447	0.27136559	1	0.711
Transcription factor	TLX1	2	0.04878049	0.59272895	0.8514647	1	0.9139
Transcription factor	TLX3	1	0.16666667	2.02515723	0.42560336	1	0.7412
Transcription factor	TNFSF12	1	0.14285714	1.73584906	0.46942728	1	0.7686
Transcription factor	TOP1	1	0.16666667	2.02515723	0.42560336	1	0.7412
Transcription factor	TOP2B	1	0.33333333	4.05031447	0.27136559	1	0.711
Transcription factor	TP53	59	0.10516934	1.2779067	0.0215559	1	0.368
Transcription factor	TP63	23	0.08363636	1.01626072	0.50548408	1	0.7837
Transcription factor	TP73	8	0.08163265	0.99191375	0.56496089	1	0.8185
Transcription factor	TRIM24	36	0.07894737	0.959285	0.64020817	1	0.8309
Transcription factor	TRIM25	58	0.09618574	1.16874746	0.10045782	1	0.6384
Transcription factor	TRIM28	82	0.08668076	1.05325302	0.29123894	1	0.7251
Transcription factor	TRRAP	1	0.07692308	0.93468795	0.67070831	1	0.8371
Transcription factor	TWIST1	8	0.34782609	4.22641509	0.00162946	0.787	0.2623
Transcription factor	UBTF	13	0.07303371	0.88742845	0.71116057	1	0.8523
Transcription factor	USF1	52	0.08934708	1.0856513	0.27526041	1	0.711
Transcription factor	USF2	23	0.08679245	1.05461018	0.43339504	1	0.7423
Transcription factor	VDR	20	0.11049724	1.34264568	0.12089498	1	0.6663
Transcription factor	VEZF1	2	0.4	4.86037736	0.09367009	1	0.6198
Transcription factor	WDR5	71	0.0897598	1.09066622	0.20286642	1	0.6677
Transcription factor	WIZ	1	0.2	2.43018868	0.37818432	1	0.7348
Transcription factor	WWTR1	2	0.05263158	0.63952334	0.82132049	1	0.8942
Transcription factor	XBP1	6	0.06818182	0.82847341	0.73413875	1	0.8584
Transcription factor	YAP1	22	0.07457627	0.90617205	0.72048247	1	0.8557
Transcription factor	YY1	72	0.09137056	1.11023848	0.15302595	1	0.6663
Transcription factor	ZBTB17	6	0.07142857	0.86792453	0.69398168	1	0.8472
Transcription factor	ZBTB33	12	0.08450704	1.02684029	0.51112962	1	0.7837
Transcription factor	ZBTB48	12	0.08450704	1.02684029	0.51112962	1	0.7837
Transcription factor	ZBTB7A	57	0.10614525	1.28976494	0.02059881	1	0.368
Transcription factor	ZC3H11A	1	0.25	3.03773585	0.32687726	1	0.7348
Transcription factor	ZEB1	13	0.07926829	0.96318454	0.59925212	1	0.8185
Transcription factor	ZEB2	1	0.07692308	0.93468795	0.67070831	1	0.8371
Transcription factor	ZFP42	2	0.06896552	0.8379961	0.69626848	1	0.8472
Transcription factor	ZFX	2	0.1	1.21509434	0.50768015	1	0.7837
Transcription factor	ZIC1	2	0.66666667	8.10062893	0.04931887	1	0.4581
Transcription factor	ZIC2	2	0.15384615	1.86937591	0.31779386	1	0.7348
Transcription factor	ZKSCAN1	2	0.08333333	1.01257862	0.59993023	1	0.8185
Transcription factor	ZMIZ1	4	0.08888889	1.08008386	0.51889249	1	0.7857
Transcription factor	ZMYND8	11	0.08088235	0.98279689	0.57160276	1	0.8185
Transcription factor	ZNF143	81	0.09794438	1.19011658	0.02865197	1	0.3954
Transcription factor	ZNF263	37	0.09367089	1.13818963	0.22619243	1	0.6935
Transcription factor	ZNF274	1	0.08333333	1.01257862	0.64342463	1	0.8309
Transcription factor	ZNF280D	1	0.0625	0.75943396	0.74072237	1	0.8584
Transcription factor	ZNF384	15	0.0802139	0.9746746	0.58297774	1	0.8185
Transcription factor	ZNF644	1	0.16666667	2.02515723	0.42560336	1	0.7412
Transcription factor	ZNF750	5	0.04901961	0.59563448	0.92186858	1	0.9535
Transcription factor	ZNF76	7	0.08860759	1.07666587	0.48460493	1	0.7808
Transcription factor	ZNF83	1	0.025	0.30377358	0.96219328	1	0.9743
Transcription factor	ZNF84	1	0.16666667	2.02515723	0.42560336	1	0.7412
Transcription factor	ZZZ3	1	0.2	2.43018868	0.37818432	1	0.7348
Transcription factor	calcineurin	1	0.5	6.0754717	0.21130707	1	0.6677
